Link,Score,Comment

Transportation in Boston

Positive Comments
https://www.facebook.com/1410662969195717_1534147340180612,1.0,Awesome !!! Congrats
https://www.facebook.com/361769553910716_716334435120891,1.0,The best of the trucks #9
https://www.facebook.com/361769553910716_797585243662476,1.0,"She's been the best truck of the fleet,"
https://www.facebook.com/196418800479617_720873608034131,1.0,Incredible!! I'm jealous. They are beautiful!!
https://www.facebook.com/196418800479617_721884014599757,1.0,Lol! He's havin a blast!
https://www.facebook.com/162678889079_10152602531184080,1.0,Cool Hand Luke!! Keep em coming! I'll knock em out of the park every time!!
https://www.facebook.com/146006742086450_568969836456803,1.0,One of the best families to be part of....xoxo.
https://www.facebook.com/830198747050561_833295653407537,0.9765625,Mason bros can you please make the picture gallery a Sunday night ritual as top gear has lost the plot!!!
https://www.facebook.com/1410662969195717_1534147340180612,0.875,"Congrats, Keep up your good work!"
https://www.facebook.com/227717230591649_911565985540100,0.875,We've flown with Now City Tours and loved it!
https://www.facebook.com/178234564838_10153057855399839,0.83828125,"Ah, the good ol' days...don't miss that part of it, that's for sure! Hi Curt M.!!"
https://www.facebook.com/247648128756709_338397079681813,0.8,Dint think of that lol
https://www.facebook.com/361769553910716_787351848019149,0.8,She looks great
https://www.facebook.com/830198747050561_833295653407537,0.8,Yeh me to lol
https://www.facebook.com/162678889079_10152640057569080,0.8,"""Happy Birthday"""
https://www.facebook.com/424923127580853_802177943188701,0.78125,"Buses are so sexy! I wish I understood Danish, spoken by the Danes in Denmark!"
https://www.facebook.com/830198747050561_833295653407537,0.78125,I prefer your pictures to top gear!!
https://www.facebook.com/227717230591649_908739629156069,0.75,Nice!
https://www.facebook.com/162678889079_10152671046069080,0.75,i would have been all over rebecca :P
https://www.facebook.com/361769553910716_823933104361023,0.733333333333,Great job guys. Salt deliveries running smoothly along with all the plowing and hauling snow is impressive !!!
https://www.facebook.com/830198747050561_834328589970910,0.705,Top liner is very good unit and DAF XF.
https://www.facebook.com/361769553910716_732671870153814,0.7,"Rob she still looks good,  think louie, would let me polish the tanks?"
https://www.facebook.com/361769553910716_829699280451072,0.7,The k.w..looking good louie
https://www.facebook.com/1410662969195717_1515770038685009,0.625,Thanks Carlie ! :D
https://www.facebook.com/1410662969195717_1535343250061021,0.625,"Hey Sam, we're hoping to cover more areas of Boston soon. Send your requests to bridj.com/hopon!"
https://www.facebook.com/162678889079_10152671046069080,0.625,Carla! She was hilarious!
https://www.facebook.com/146006742086450_568969836456803,0.625,Precious!
https://www.facebook.com/146006742086450_568969836456803,0.6,it is amazing you have that picture of Martin.  what  a tragedy
https://www.facebook.com/1410662969195717_1516984808563532,0.6,Great! Thanks
https://www.facebook.com/361769553910716_787363681351299,0.6,nice vid
https://www.facebook.com/830198747050561_10152834547469713,0.6,Nice livery....
https://www.facebook.com/247648128756709_338390529682468,0.566666666667,Hi does it have foam seats and would you be able to send me measurements of both as need to see if will fit in room lol
https://www.facebook.com/212629445446384_717469251629065,0.5625,"Hey Rob, you look pretty good all dressed up!"
https://www.facebook.com/424923127580853_789408747798954,0.5,I woulf love to go
https://www.facebook.com/247648128756709_338393663015488,0.5,I love it
https://www.facebook.com/1410662969195717_1534147340180612,0.5,"Interesting . . .Brant, check this out"
https://www.facebook.com/1410662969195717_1534147340180612,0.5,How will you get around Federal Motor Carrier Safety Administration requirements (USDOT and MC number) for transporting more than 9 passengers across state lines?
https://www.facebook.com/830198747050561_834328589970910,0.5,Lovely fleet
https://www.facebook.com/196418800479617_721884014599757,0.5,Sure does look like it
https://www.facebook.com/178234564838_10153057855399839,0.5,Buses are checked over by our drivers in a checklist before they take them out for the day :)
https://www.facebook.com/162678889079_10152640057569080,0.5,"You have made me laugh so much kelsey, happy birthday 🎂 and god bless!!"
https://www.facebook.com/162678889079_10152658008889080,0.45,Ron most of all our retail items are available at cheersboston.com
https://www.facebook.com/146006742086450_568969836456803,0.425,Precious Sweet Boy
https://www.facebook.com/830198747050561_833285410075228,0.418181818182,Had J571 Cjv  from new good trucks
https://www.facebook.com/227717230591649_911565985540100,0.416666666667,Super!
https://www.facebook.com/361769553910716_766957750058559,0.4,"Great place to work for, respective company"
https://www.facebook.com/196418800479617_720873608034131,0.4,awww amazing haha
https://www.facebook.com/830198747050561_834323306638105,0.392857142857,If I remember rightly 701 was  Chris Shields motor... had many laughs with Chris R.I.P.
https://www.facebook.com/162678889079_10152671046069080,0.390625,"Rebecca, she was so pretty!!"
https://www.facebook.com/196418800479617_721884014599757,0.375,Me thinks he is having fun!
Negative Comments
https://www.facebook.com/361769553910716_793806787373655,-0.8,ohhh i hate the time that takes
https://www.facebook.com/361769553910716_732671870153814,-0.6,Rob your tires are dirty
https://www.facebook.com/146006742086450_568969836456803,-0.5,"So sad, so sad...."
https://www.facebook.com/361769553910716_732671870153814,-0.5,Yeah WTF is with that
https://www.facebook.com/146006742086450_10200464461726011,-0.4296875,So sad! R.I.P. little angel!
https://www.facebook.com/178234564838_10153078606114839,-0.3,"We are just posting this information, as well as sending notices.  We will be operating a WEEKEND schedule, with all terminals operating with a late opening.  Buses will not begin service until late morning (please see our website for details at www.bostonexpressbus.com)"
https://www.facebook.com/162678889079_10152666863689080,-0.19444444444444448,I got my tee shirt yesterday in the mail ! Will be heading to Savannah Ga for St. Paddy's day ! It will be worn all day down on River Street !
https://www.facebook.com/162678889079_10152657999529080,-0.19444444444444448,How can I order a shirt. I'm way down in NC !
https://www.facebook.com/247648128756709_338393663015488,-0.16666666666666666,The black and silver sofa and puffy
https://www.facebook.com/1410662969195717_1513254748936538,-0.15,"I'd really love to keep using Bridj (have been riding it every morning for 6 months), but my bus disappeared from the schedule, and I am not comfortable making purchases on my iphone. Unless Bridj allows us to buy passes online, I may have to stop using the service :("
https://www.facebook.com/830198747050561_834328589970910,-0.125,"You did Dave, Conrad, Rupert and Andy T had the other 3"
https://www.facebook.com/361769553910716_787363681351299,-0.125,Always a sharp truck in the L&L fleet
https://www.facebook.com/1410662969195717_1528085067453506,-0.125,A seriously big thank you to you and your drivers! I actually have no idea what I would be doing for transportation at this point if you guys weren't up and running. My MBTA pass has essentially turned itself into a useless hunk of plastic over the last few weeks!
https://www.facebook.com/146006742086450_568969836456803,-0.07500000000000001,What a sweet boy. So sad.
https://www.facebook.com/178234564838_10153076507474839,-0.03125,"We will be operating a weekend schedule on Monday Feb 9th, and cancelling the early morning buses due to expected snow and weather.  Please check our website for further updates."
https://www.facebook.com/178234564838_10153092871314839,-0.016666666666666666,"As long as your ticket is valid (expiration date is noted in the lower left corner), your ticket is usable.  This would be for Boston Express tickets only."
https://www.facebook.com/178234564838_10153067628344839,-0.003124999999999989,Thanks for posting so early. Was wondering with the big parade tomorrow! 😊
https://www.facebook.com/146006742086450_568969836456803,0.0,Darling angel.
https://www.facebook.com/146006742086450_568969836456803,0.0,I am so sorry. My prayers for Martin's family and for the entire TCC greater family.
https://www.facebook.com/146006742086450_568969836456803,0.0,god bless his soul!
https://www.facebook.com/146006742086450_568969836456803,0.0,Saddest thing ever!!!!
https://www.facebook.com/146006742086450_568969836456803,0.0,That is just so sad....i cry everytime I see his picture on TV.  Prayers and thoughts with all!
https://www.facebook.com/162678889079_10152671046069080,0.0,Norm
https://www.facebook.com/162678889079_10152671046069080,0.0,Rebecca
https://www.facebook.com/162678889079_10152671046069080,0.0,"Sam!  Even though he probably doesn't need a wing man, I could still watch and learn from the master!"
https://www.facebook.com/162678889079_10152671046069080,0.0,"Kelly, Kelly, Kelly, Kelly..."
https://www.facebook.com/162678889079_10152671046069080,0.0,Can't I just spend a weekend in the bar with all of them?
https://www.facebook.com/162678889079_10152671046069080,0.0,Is that Wade Boggs? Because I would spend the weekend drinking with him!!
https://www.facebook.com/162678889079_10152671046069080,0.0,Rebecca
https://www.facebook.com/162678889079_10152671046069080,0.0,Sam.
https://www.facebook.com/162678889079_10152671046069080,0.0,Woody!
https://www.facebook.com/162678889079_10152671046069080,0.0,Norm
https://www.facebook.com/162678889079_10152657999529080,0.0,We call it St Patrick's Day.
https://www.facebook.com/162678889079_10152657999529080,0.0,"Alex, I checked and found them online here: http://www.cheersbostonstore.com/product.php?productid=17614"
https://www.facebook.com/162678889079_10152657999529080,0.0,Cheersboston.com
https://www.facebook.com/162678889079_10152657765009080,0.0,Mmmmm ...GOOD  !!!
https://www.facebook.com/162678889079_10152602528364080,0.0,Munsters
https://www.facebook.com/162678889079_10152602528364080,0.0,"The Munsters. Plus, Norm ""took back what he said about Cousin Itt""."
https://www.facebook.com/162678889079_10152640057569080,0.0,http://youtu.be/o4GtOdJtgL8?list=PLBC1E7B6BB526D77D
https://www.facebook.com/162678889079_10152644639739080,0.0,Nana Abena Hello
https://www.facebook.com/162678889079_10152602526634080,0.0,A Blue Moon of course!
https://www.facebook.com/162678889079_10152635254964080,0.0,The penguin just informed he's from the Antarctic
https://www.facebook.com/178234564838_10153120111184839,0.0,And same thing happening again tonight. The 730 bus is also now routinely packed because of the overflow.
https://www.facebook.com/178234564838_10153081562964839,0.0,Yes
https://www.facebook.com/178234564838_10153081447529839,0.0,Mass DOT maintains that lot.  We will pass along your comments.
https://www.facebook.com/178234564838_10153067628344839,0.0,"This would be for Wednesday, Thursday and Friday, as noted in the notification."
https://www.facebook.com/178234564838_10153067628344839,0.0,Yeah i figured. Just trying to plan accordingly so the info was helpful - was thinking of jumping out at Park St.
https://www.facebook.com/178234564838_10153063518279839,0.0,Ally Weimer Brian Conley
https://www.facebook.com/178234564838_10153057855399839,0.0,Pre-tripping?
https://www.facebook.com/178234564838_10153057855399839,0.0,2008 MCI D4500CT???

Transportation in New York

Positive Comments
https://www.facebook.com/512100995500458_806545676055987,1.0,Hope you are having a wonderful birthday!🎂🎈🎂🎈🎂🎈
https://www.facebook.com/512100995500458_821793577864530,1.0,"This is awesome. .Love it
This is called spreading the holiday spirit."
https://www.facebook.com/122014561159744_1001330423228149,1.0,Welcome to our Facebook chat with Celtic Tours World Vacations  this afternoon!
https://www.facebook.com/122014561159744_1001330423228149,1.0,Where are the best places for families to visit that are also affordable?
https://www.facebook.com/102221239926164_415962605218691,1.0,Great photo!
https://www.facebook.com/102221239926164_433491543465797,1.0,Furkan Tunç bunlar mal mı amk 1 hafta geriden geliyolar :D
https://www.facebook.com/102221239926164_433491543465797,1.0,Hasiktir amk :D D:SDFA:SFA:ADFA
https://www.facebook.com/1383542121942861_1421453791485027,1.0,The Best Of The Best !!
https://www.facebook.com/113024015390436_1044468448912650,1.0,Happy birthday mr l🎈!!!
https://www.facebook.com/113024015390436_1044468448912650,1.0,Happy Birthday Marty !!
https://www.facebook.com/113024015390436_1044468448912650,1.0,Happy Birthday Mr. L!    🎈🎉🎊🎈🎉🎊🎈
https://www.facebook.com/113024015390436_1044468448912650,1.0,Happy birthday Marty!
https://www.facebook.com/113024015390436_1044468448912650,1.0,"Happy birthday, Grandpa! 🗽"
https://www.facebook.com/113024015390436_1044468448912650,1.0,Happy Birthday!!!!!
https://www.facebook.com/90705538313_10152664414078314,1.0,Awesome!
https://www.facebook.com/90705538313_10152676421723314,1.0,people keep voting against their best interests
https://www.facebook.com/90705538313_10152678540043314,1.0,Didn't do us any good in Wisconsin the republicans mocked us as thugs and terrorist and the scumbag governor is running around on our dime telling anyone that will listen to him that he took on the terrorist union thugs and won! He's signing it Monday!
https://www.facebook.com/90705538313_10152678636108314,1.0,Awesome. ......
https://www.facebook.com/90705538313_10152678636108314,1.0,Stay strong brothers and sisters! We support you 100%!!!
https://www.facebook.com/141393642746_10151922269357747,1.0,Impressive !!
https://www.facebook.com/141393642746_10152046318877747,1.0,"Sounds great!   I've lost track, who is the owner?"
https://www.facebook.com/263469787148662_429103980585241,1.0,So beautiful!
https://www.facebook.com/263469787148662_430285423800430,1.0,Awesome !!
https://www.facebook.com/263469787148662_433132833515689,1.0,"Brilliant, everyone! It is indeed the ceiling of the Sagrada Família in Barcelona!"
https://www.facebook.com/263469787148662_434440073384965,1.0,Love Besalu!!!!!!
https://www.facebook.com/263469787148662_435509629944676,1.0,Yes. Priorat produces incredible wine!
https://www.facebook.com/263469787148662_437187246443581,1.0,what a beautiful spot!
https://www.facebook.com/147910712032409_360611654095646,1.0,Very excited.  Lets go STS!!!!
https://www.facebook.com/147910712032409_400598140096997,1.0,Thank you Suffolk keep up the good work!! 🍀😃
https://www.facebook.com/147910712032409_400599290096882,1.0,GREAT seasonal reminder!
https://www.facebook.com/147910712032409_431310800359064,1.0,You the best
https://www.facebook.com/215394968659108_339294486269155,1.0,Beautiful !!!!!
https://www.facebook.com/215394968659108_339995302865740,1.0,Nice evening to you!!!
https://www.facebook.com/215394968659108_340594672805803,1.0,I love forever this town !!!!
https://www.facebook.com/215394968659108_341284812736789,1.0,<3
https://www.facebook.com/124691280894093_992773174085895,1.0,This is great news!
https://www.facebook.com/124691280894093_992773174085895,1.0,So beautiful the repaired as by finished !
